deployment_id,regime,flag_a,flag_b,demand,module_a_output,module_b_output,queue_depth,shared_resource_pressure,p95_latency_ms,included
dep-00-000,00,0,0,87.821205172,88.030058732,9.194357466,13.844823546,0.918867391,43.747689636,1
dep-00-001,00,0,0,85.517484025,85.486946793,9.286795794,15.609088650,0.991877164,44.815980553,1
dep-00-002,00,0,0,77.841830049,80.778127793,9.160554296,2.720612116,1.028507823,41.373865294,1
dep-00-003,00,0,0,76.652204900,78.986581622,8.744663893,2.259213950,0.946810857,38.735273776,1
dep-00-004,00,0,0,82.828924556,81.752591575,9.134566282,11.429681885,0.978919333,43.321556160,1
dep-00-005,00,0,0,68.126800801,67.647100276,8.428639279,0.000000000,0.849345042,38.654817809,1
dep-00-006,00,0,0,77.699699920,79.312315920,8.895416274,2.969378107,0.947636595,39.088890077,1
dep-00-007,00,0,0,76.402233642,76.377325796,8.960816939,4.095617520,0.895556109,40.099690499,1
dep-00-008,00,0,0,82.114621707,81.377088581,9.203686609,8.492388132,0.941686879,39.541061313,1
dep-00-009,00,0,0,78.362517777,76.321815388,8.910056572,6.771652496,0.875800780,42.611317390,1
dep-00-010,00,0,0,52.848898423,53.459342844,7.600792693,0.000000000,0.749235386,37.277639783,1
dep-00-011,00,0,0,83.225854562,79.270875916,9.217106299,11.977047649,0.942346764,45.046650004,1
dep-00-012,00,0,0,86.360457456,84.713405788,9.069255050,9.375820986,1.022730106,41.314842158,1
dep-00-013,00,0,0,73.886001693,69.713474895,8.748047402,0.000000000,0.931736642,38.949175038,1
dep-00-014,00,0,0,91.848095320,86.975861027,9.968073184,19.441436134,1.023294080,46.041288807,1
dep-00-015,00,0,0,75.333602056,73.800635021,8.845039398,2.328826462,0.952250524,37.333743073,1
dep-00-016,00,0,0,66.340960282,65.007548817,8.560725350,0.000000000,0.759884653,36.540814770,1
dep-00-017,00,0,0,59.800882166,57.068942805,7.690834705,0.000000000,0.801805653,37.726507898,1
dep-00-018,00,0,0,91.363167033,91.764532846,9.587092404,19.518582867,1.031206797,42.540900906,1
dep-00-019,00,0,0,39.335905987,42.035322300,6.367915637,0.000000000,0.710645603,33.859659327,1
dep-00-020,00,0,0,47.768362480,42.413693097,6.623646669,0.000000000,0.708452257,35.010784150,1
dep-00-021,00,0,0,81.177284385,86.888532695,9.173272903,8.422710751,0.863071067,39.876526148,1
dep-00-022,00,0,0,67.046820912,70.618920785,8.375634394,0.000000000,0.772836042,36.877241667,1
dep-00-023,00,0,0,58.467827824,57.186477951,7.834200036,0.000000000,0.843602061,38.468651764,1
dep-00-024,00,0,0,95.549199082,93.088416789,9.845733980,22.695447304,1.088771101,47.759067297,1
dep-00-025,00,0,0,71.891941198,74.854240215,8.225876071,0.000000000,0.878715798,40.682021363,1
dep-00-026,00,0,0,81.997584368,79.918791325,8.962249019,10.308412911,0.847401546,40.250835186,1
dep-00-027,00,0,0,45.716069988,46.479830241,6.686608231,0.000000000,0.677963892,34.599409862,1
dep-00-028,00,0,0,44.801707313,46.344444656,6.394611884,0.000000000,0.685377211,33.726372107,1
dep-00-029,00,0,0,63.762241103,62.195172716,7.922334402,0.000000000,0.775804260,36.878927990,1
dep-00-030,00,0,0,78.078718726,79.076514911,8.991066175,5.557720434,0.868116453,38.720844187,1
dep-00-031,00,0,0,78.433684209,77.054188311,8.823395595,0.400657148,0.938698228,39.620457930,1
dep-00-032,00,0,0,49.962544340,50.571159015,7.314484046,0.000000000,0.741579227,37.223385046,1
dep-00-033,00,0,0,62.144376498,59.573736397,7.784088393,0.000000000,0.857559492,37.778282533,1
dep-00-034,00,0,0,41.493792189,40.641121027,6.835242531,0.000000000,0.607130508,33.640275197,1
dep-00-035,00,0,0,72.335860247,71.244490003,8.596310820,0.000000000,0.916840008,39.564870527,1
dep-00-036,00,0,0,59.704655470,54.813224351,7.539681150,0.000000000,0.726567115,35.506271555,1
dep-00-037,00,0,0,69.564438381,68.677212337,8.634487469,0.585982788,0.906676720,38.419678482,1
dep-00-038,00,0,0,66.715856118,61.561507291,8.137978980,0.000000000,0.863596238,37.102360677,1
