cluster_id,regime,x,included
00-z00,00,0,1
00-z01,00,0,1
00-z02,00,0,1
00-z03,00,0,1
00-z04,00,0,1
00-z05,00,0,1
00-z06,00,0,1
00-z07,00,0,1
00-z08,00,0,1
00-z09,00,0,1
00-o00,00,1,1
00-o01,00,1,1
00-o02,00,1,1
00-o03,00,1,1
00-o04,00,1,1
00-o05,00,1,1
00-o06,00,1,1
00-o07,00,1,1
00-o08,00,1,1
00-o09,00,1,1
10-z00,10,0,1
10-z01,10,0,1
10-z02,10,0,1
10-z03,10,0,1
10-z04,10,0,1
10-z05,10,0,1
10-z06,10,0,1
10-z07,10,0,1
10-z08,10,0,1
10-z09,10,0,1
10-o00,10,1,1
10-o01,10,1,1
10-o02,10,1,1
10-o03,10,1,1
10-o04,10,1,1
10-o05,10,1,1
10-o06,10,1,1
10-o07,10,1,1
10-o08,10,1,1
10-o09,10,1,1
01-z00,01,0,1
01-z01,01,0,1
01-z02,01,0,1
01-z03,01,0,1
01-z04,01,0,1
01-z05,01,0,1
01-z06,01,0,1
01-z07,01,0,1
01-z08,01,0,1
01-z09,01,0,1
01-o00,01,1,1
01-o01,01,1,1
01-o02,01,1,1
01-o03,01,1,1
01-o04,01,1,1
01-o05,01,1,1
01-o06,01,1,1
01-o07,01,1,1
01-o08,01,1,1
01-o09,01,1,1
11-z00,11,0,1
11-z01,11,0,1
11-z02,11,0,1
11-z03,11,0,1
11-z04,11,0,1
11-z05,11,0,1
11-z06,11,0,1
11-z07,11,0,1
11-z08,11,0,1
11-z09,11,0,1
11-z10,11,0,1
11-z11,11,0,1
11-z12,11,0,1
11-z13,11,0,1
11-z14,11,0,1
11-z15,11,0,1
11-o00,11,1,1
11-o01,11,1,1
11-o02,11,1,1
11-o03,11,1,1
