cluster_id,elev,season,temperature,moisture
lowsummer0,low,summer,30.00,0.00
lowwinter0,low,winter,20.00,0.00
highsummer0,high,summer,24.00,0.00
highwinter0,high,winter,14.00,0.00
lowsummer1,low,summer,30.02,0.02
lowwinter1,low,winter,20.02,0.02
highsummer1,high,summer,24.02,0.02
highwinter1,high,winter,14.02,0.02
lowsummer2,low,summer,30.04,0.04
lowwinter2,low,winter,20.04,0.04
highsummer2,high,summer,24.04,0.04
highwinter2,high,winter,14.04,0.04
lowsummer3,low,summer,30.06,0.06
lowwinter3,low,winter,20.06,0.06
highsummer3,high,summer,24.06,0.06
highwinter3,high,winter,14.06,0.06
lowsummer4,low,summer,30.08,0.08
lowwinter4,low,winter,20.08,0.08
highsummer4,high,summer,24.08,0.08
highwinter4,high,winter,14.08,0.08
lowsummer5,low,summer,30.00,0.00
lowwinter5,low,winter,20.00,0.00
highsummer5,high,summer,24.00,0.00
highwinter5,high,winter,14.00,0.00
lowsummer6,low,summer,30.02,0.02
lowwinter6,low,winter,20.02,0.02
highsummer6,high,summer,24.02,0.02
highwinter6,high,winter,14.02,0.02
lowsummer7,low,summer,30.04,0.04
lowwinter7,low,winter,20.04,0.04
highsummer7,high,summer,24.04,0.04
highwinter7,high,winter,14.04,0.04
lowsummer8,low,summer,30.06,0.06
lowwinter8,low,winter,20.06,0.06
highsummer8,high,summer,24.06,0.06
highwinter8,high,winter,14.06,0.06
lowsummer9,low,summer,30.08,0.08
lowwinter9,low,winter,20.08,0.08
highsummer9,high,summer,24.08,0.08
highwinter9,high,winter,14.08,0.08
lowsummer10,low,summer,30.00,0.00
lowwinter10,low,winter,20.00,0.00
highsummer10,high,summer,24.00,0.00
highwinter10,high,winter,14.00,0.00
lowsummer11,low,summer,30.02,0.02
lowwinter11,low,winter,20.02,0.02
highsummer11,high,summer,24.02,0.02
highwinter11,high,winter,14.02,0.02
lowsummer12,low,summer,30.04,0.04
lowwinter12,low,winter,20.04,0.04
highsummer12,high,summer,24.04,0.04
highwinter12,high,winter,14.04,0.04
lowsummer13,low,summer,30.06,0.06
lowwinter13,low,winter,20.06,0.06
highsummer13,high,summer,24.06,0.06
highwinter13,high,winter,14.06,0.06
lowsummer14,low,summer,30.08,0.08
lowwinter14,low,winter,20.08,0.08
highsummer14,high,summer,24.08,0.08
highwinter14,high,winter,14.08,0.08
lowsummer15,low,summer,30.00,0.00
lowwinter15,low,winter,20.00,0.00
highsummer15,high,summer,24.00,0.00
highwinter15,high,winter,14.00,0.00
